Variable,Variable Name,Value,Units,,,,,,
Spacecraft Transmit Power Uplink Primary,out_up_p_sc_transpower,,dBW
Spacecraft Transmit Power Uplink Secondary,out_up_s_sc_transpower,,dBW
Spacecraft Transmit Power Downlink Primary,out_down_p_sc_transpower,,dBW
Spacecraft Transmit Power Downlink Secondary,out_down_s_sc_transpower,,dBW
Spacecraft Antenna Gain Uplink Primary,out_up_p_sc_antgain,,dBi
Spacecraft Antenna Gain Uplink Secondary,out_up_s_sc_antgain,,dBi
Spacecraft Antenna Gain Downlink Primary,out_down_p_sc_antgain,,dBi
Spacecraft Antenna Gain Downlink Secondary,out_down_s_sc_antgain,,dBi
Ground Station Transmit Power Uplink Primary,out_up_p_gs_transpower,,dBW 
Ground Station Transmit Power Uplink Secondary,out_up_s_gs_transpower,,dBW
Ground Station Transmit Power Downlink Primary,out_down_p_gs_transpower,,dBW
Ground Station Transmit Power Downlink Secondary,out_down_s_gs_transpower,,dBW
Ground Station Antenna Gain Uplink Primary,out_up_p_gs_antgain,,dBi
Ground Station Antenna Gain Uplink Secondary,out_up_s_gs_antgain,,dBi
Ground Station Antenna Gain Downlink Primary,out_down_p_gs_antgain,,dBi
Ground Station Antenna Gain Downlink Secondary,out_down_s_gs_antgain,,dBi
Data Rate Uplink Primary,out_up_p_datarate,,dB-Hz
Data Rate Uplink Secondary,out_up_s_datarate,,dB-Hz
Data Rate Downlink Primary,out_down_p_datarate,,dB-Hz
Data Rate Downlink Secondary,out_down_s_datarate,,dB-Hz
System to Noise Ratio Uplink Primary(EB/No),out_up_p_EBNo,,dB
System to Noise Ratio Uplink Secondary(EB/No),out_up_s_EBNo,,dB
System to Noise Ratio Downlink Primary(EB/No),out_down_p_EBNo,,dB
System to Noise Ratio Downlink Secondary(EB/No),out_down_s_EBNo,,dB
System Noise Temperature Ground Primary,out_up_p_systemp,,dBK
System Noise Temperature Ground Secondary,out_up_s_systemp,,dBK
System Noise Temperature Spacecraft Primary,out_down_p_systemp,,dBK
System Noise Temperature Spacecraft Secondary,out_down_s_systemp,,dBK
Path Losses Uplink Primary,out_up_p_pathloss,,dB
Path Losses Uplink Secondary,out_up_s_pathloss,,dB
Path Losses Downlink Primary,out_down_p_pathloss,,dB
Path Losses Downlink Secondary,out_down_s_pathloss,,dB
Other Losses Uplink Primary,out_up_p_otherloss,,dB
Other Losses Uplink Secondary,out_up_s_otherloss,,dB
Other Losses Downlink Primary,out_down_p_otherloss,,dB
Other Losses Downlink Secondary,out_down_s_otherloss,,dB
Margin Uplink Primary,out_up_p_margin,,dB
Margin Uplink Secondary,out_up_s_margin,,dB
Margin Downlink Primary,out_down_p_margin,,dB
Margin Downlink Secondary,out_down_s_margin,,dB
