Variable,Variable Name,Value,Units,,,,,,
Frequency Uplink Primary,out_up_1_frequency,,Hz
Frequency Uplink Secondary,out_up_2_frequency,,Hz
Frequency Downlink Primary,out_down_1_frequency,,Hz
Frequency Downlink Secondary,out_down_2_frequency,,Hz
Transmit RF Power Uplink Primary,out_up_1_transmitterpower,,W
Transmit RF Power Uplink Secondary,out_up_2_transmitterpower,,W
Transmit RF Power Downlink Primary,out_down_1_transmitterpower,,W
Transmit RF Power Downlink Secondary,out_down_2_transmitterpower,,W
Transmit RF Power Uplink Primary(dB-W),out_up_1_transmitterpower2,,dB-W
Transmit RF Power Uplink Secondary(dB-W),out_up_2_transmitterpower2,,dB-W
Transmit RF Power Downlink Primary(dB-W),out_down_1_transmitterpower2,,dB-W
Transmit RF Power Downlink Secondary(dB-W),out_down_2_transmitterpower2,,dB-W
Transmit Antenna Gain Uplink Primary,out_up_1_transmitterantgain,,dBi
Transmit Antenna Gain Uplink Secondary,out_up_2_transmitterantgain,,dBi
Transmit Antenna Gain Downlink Primary,out_down_1_transmitterantgain,,dBi
Transmit Antenna Gain Downlink Secondary,out_down_2_transmitterantgain,,dBi
Transmit Antenna Efficiency Uplink Primary,out_up_1_transmitterefficiency,,
Transmit Antenna Efficiency Uplink Secondary,out_up_2_transmitterefficiency,,
Transmit Antenna Efficiency Downlink Primary,out_down_1_transmitterefficiency,,
Transmit Antenna Efficiency Downlink Secondary,out_down_2_transmitterefficiency,,
Transmit Antenna Dish Diameter Uplink Primary,out_up_1_transmitterdishdiameter,,m
Transmit Antenna Dish Diameter Uplink Secondary,out_up_2_transmitterdishdiameter,,m
Transmit Antenna Dish Diameter Downlink Primary,out_down_1_transmitterdishdiameter,,m
Transmit Antenna Dish Diameter Downlink Secondary,out_down_2_transmitterdishdiameter,,m
Beamwidth Uplink Primary,out_up_1_beamwidth,,deg
Beamwidth Uplink Secondary,out_up_2_beamwidth,,deg
Beamwidth Downlink Primary,out_down_1_beamwidth,,deg
Beamwidth Downlink Secondary,out_down_2_beamwidth,,deg
Transmit EIRP Uplink Primary,out_up_1_eirp,,dB-W
Transmit EIRP Uplink Secondary,out_up_2_eirp,,dB-W
Transmit EIRP Downlink Primary,out_down_1_eirp,,dB-W
Transmit EIRP Downlink Secondary,out_down_2_eirp,,dB-W
Space Loss Uplink Primary,out_up_1_spaceloss,,dB
Space Loss Uplink Secondary,out_up_2_spaceloss,,dB
Space Loss Downlink Primary,out_down_1_spaceloss,,dB
Space Loss Downlink Secondary,out_down_2_spaceloss,,dB
Atmospheric Attenuation Uplink Primary,out_up_1_atmosphereattenuation,,dB
Atmospheric Attenuation Uplink Secondary,out_up_2_atmosphereattenuation,,dB
Atmospheric Attenuation Downlink Primary,out_down_1_atmosphereattenuation,,dB
Atmospheric Attenuation Downlink Secondary,out_down_2_atmosphereattenuation,,dB
Receiver Antenna Dish Diameter Uplink Primary,out_up_1_receiverdishdiameter,,m
Receiver Antenna Dish Diameter Uplink Secondary,out_up_2_receiverdishdiameter,,m
Receiver Antenna Dish Diameter Downlink Primary,out_down_1_receiverdishdiameter,,m
Receiver Antenna Dish Diameter Downlink Secondary,out_down_2_receiverdishdiameter,,m
Receiver Antenna Efficiency Uplink Primary,out_up_1_receiverefficiency,,
Receiver Antenna Efficiency Uplink Secondary,out_up_2_receiverefficiency,,
Receiver Antenna Efficiency Downlink Primary,out_down_1_receiverefficiency,,
