Variable,Variable Name,Value,Units
Spacecraft Transmit Power Downlink X-Band,outTransPowerDXS,3.010299956639812,dBW
Spacecraft Transmit Power Downlink UHF,outTransPowerDUS,3.010299956639812,dBi
Spacecraft Antenna Gain Downlink X-Band,outAntGainDXS,2.0,dBi
Spacecraft Antenna Gain Downlink UHF,outAntGainDUS,2.0,dBi
Spacecraft Antenna Gain Uplink X-Band,outAntGainUXS,2.0,dBi
Spacecraft Antenna Gain Uplink UHF,outAntGainUUS,2.0,dBi
Ground Station Transmit Power Uplink X-Band,outTransPowerUXG,3.010299956639812,dBW 
Ground Station Transmit Power Uplink UHF,outTransPowerUUG,3.010299956639812,dBW
Ground Station Antenna Gain Downlink X-Band,outAntGainDXG,2.0,dBi
Ground Station Antenna Gain Downlink UHF,outAntGainDUG,2.0,dBi
Ground Station Antenna Gain Uplink X-Band,outAntGainUXG,2.0,dBi
Ground Station Antenna Gain Uplink UHF,outAntGainUUG,2.0,dBi
System to Noise Ratio Downlink X-Band,outEBNODXS,2,dB
System to Noise Ratio Downlink UHF,outEBNODUS,2,dB
System to Noise Ratio Uplink X-Band,outEBNOUXG,2,dB
System to Noise Ratio Uplink UHF,outEBNOUUG,2,dB
Data Rate Downlink X-Band,outDataRateDX,3.010299956639812,dB-Hz
Data Rate Downlink UHF,outDataRateDU,3.010299956639812,dB-Hz
Data Rate Uplink X-Band,outDataRateUX,3.010299956639812,dB-Hz
Data Rate Uplink UHF,outDataRateUU,3.010299956639812,dB-Hz
System Noise Temperature Ground,outNoiseTempG,24.771212547196626,dBK
System Noise Temperature Spacecraft,outNoiseTempS,24.771212547196626,dBK
Path Losses X-Band Ground,outPathLossXG,-72.90189864769812,dB
Path Losses UHF Ground,outPathLossUG,-72.90189864769812,dB
Path Losses X-Band Spacecraft,outPathLossXS,-72.90189864769812,dB
Path Losses UHF Spacecraft,outPathLossUS,-72.90189864769812,dB
Other Losses Ground,outOtherLossG,6.0,dB
Other Losses Spacecraft,outOtherLossS,6.0,dB
Margin Downlink X-Band,outMarginDX,272.7306861005015,dB
Margin Downlink UHF,outMarginDU,272.7306861005015,dB
Margin Uplink X-Band,outMarginUX,272.7306861005015,dB
Margin Uplink UHF,outMarginUU,272.7306861005015,dB
